Nom du chantier,Catégorie,Chef de projet ou intervenant,Objectifs et enjeux clés,Conditions de réussite (Inféré),Ruptures technologiques associées,Source,Colonne 1,Colonne 2,Colonne 3,Colonne 4,Colonne 5,Colonne 6,Colonne 7,Colonne 8,Colonne 9,Colonne 10,Colonne 11,Colonne 12,Colonne 13,Colonne 14,Colonne 15,Colonne 16,Colonne 17,Colonne 18,Colonne 19
Déployer massivement le vélo,Usages bas carbone / Transports,Laura Foglia,Atteindre entre 30% et 50% des déplacements quotidiens à vélo (potentiel maximal) ; réduire la dépendance à l'automobile.,"Réaffirmation de l'engagement de l'État via des financements pluriannuels, déploiement d'un réseau continu de pistes cyclables sécurisées, généralisation du stationnement sécurisé et apaisement de la circulation automobile.","Vélo à assistance électrique (VAE), vélos cargos, vélomobiles, vélo-voitures (vélis actifs).",https://theshiftproject.org/app/uploads/2026/04/Reussir-dans-lincertitude-Integral-version-DEF.pdf,,,,,,,,,,,,,,,,,,,
Etendre les transports en commun,Usages bas carbone / Transports,Laura Foglia,Doubler les kilomètres parcourus par les transports en commun d'ici 2050 ; réalisation du Grand Paris Express et de 26 SERM.,"Vision nationale pour prioriser les projets les plus efficaces, sécurisation financière à long terme pour éviter les ""stop-and-go"", et coordination inter-territoriale via des autorités organisatrices.","Métro automatisé, services express régionaux métropolitains (SERM), cars express.",https://theshiftproject.org/app/uploads/2026/04/Reussir-dans-lincertitude-Integral-version-DEF.pdf,,,,,,,,,,,,,,,,,,,
Généraliser la voiture électrique sobre,Usages bas carbone / Transports,Laurent Perron,Atteindre 100% de ventes de véhicules neufs électriques en 2035 ; décarboner le parc automobile qui représente 22% des émissions françaises.,"Stabilité du cadre réglementaire européen, développement d'une offre de petits véhicules abordables (<15 000€), souveraineté de la filière batteries et maillage dense de bornes de recharge.","Batteries haute densité, bornes de recharge rapide, électronique de puissance, recyclage des métaux critiques.",https://theshiftproject.org/app/uploads/2026/04/Reussir-dans-lincertitude-Integral-version-DEF.pdf,,,,,,,,,,,,,,,,,,,
Massifier le train passagers,Usages bas carbone / Transports,Béatrice Jarrige,Tripler le nombre de voyages en train d'ici 2050 pour décarboner la mobilité longue distance.,"Modernisation et régénération du réseau ferré vieillissant, augmentation de la cadence de livraison du matériel roulant (TGV M), et investissement massif dans les centres de maintenance.","TGV M (plus capacitaire et sobre), ERTMS (système de signalisation européen), automatisation des trains.",https://theshiftproject.org/app/uploads/2026/04/Reussir-dans-lincertitude-Integral-version-DEF.pdf,,,,,,,,,,,,,,,,,,,
Décarboner le secteur aérien,Usages bas carbone / Transports,Béatrice Jarrige,Réduire le trafic aérien (sobriété) et intégrer 70% de carburants durables (SAF) d'ici 2050.,"Maintien de la réglementation RefuelEU, arbitrage sur l'allocation de la biomasse et de l'électricité bas carbone, et limitation des extensions aéroportuaires.","Carburants d'aviation durables (bioSAF et e-SAF), moteur Open Fan (RISE), avion à hydrogène (R&D).",https://theshiftproject.org/app/uploads/2026/04/Reussir-dans-lincertitude-Integral-version-DEF.pdf,,,,,,,,,,,,,,,,,,,
Relance du fret ferroviaire,Usages bas carbone / Transports,Reuben Fisher,Atteindre 30% de part modale pour le rail d'ici 2050 ; multiplier par 4 l'efficacité par rapport à la route.,"Obligation progressive de recours au rail pour les chargeurs, investissement dans les installations terminales embranchées (ITE) et amélioration de la ponctualité.","Attelage digital automatique (DAC), transformation digitale du réseau (ERTMS), transport combiné.",https://theshiftproject.org/app/uploads/2026/04/Reussir-dans-lincertitude-Integral-version-DEF.pdf,,,,,,,,,,,,,,,,,,,
Electrifier les poids lourds,Usages bas carbone / Transports,Reuben Fisher,Atteindre 100% de ventes de poids lourds électriques en 2050 ; réduire les 27 Mt de CO2e du fret routier.,"Réduction du surcoût à l'achat (camions 3x plus chers), déploiement de bornes de recharge haute puissance (MCS), et stabilité des prix de l'électricité.","Megawatt Charging System (MCS), batteries stationnaires (BES), recharge dynamique (R&D).",https://theshiftproject.org/app/uploads/2026/04/Reussir-dans-lincertitude-Integral-version-DEF.pdf,,,,,,,,,,,,,,,,,,,
Massifier la rénovation des logements,Efficacité énergétique / Logement,Rémi Babut,Réaliser 800 000 à 1 000 000 de rénovations globales par an d'ici 2040-2050 ; réduire la dépendance thermique.,"Sanctuarisation des aides publiques, montée en compétence massive des artisans (200 000 emplois à créer), et généralisation de l'accompagnement (MonAccompagnateurRénov).","Diagnostic de Performance Énergétique (DPE) opposable, industrialisation de la rénovation, matériaux isolants biosourcés.",https://theshiftproject.org/app/uploads/2026/04/Reussir-dans-lincertitude-Integral-version-DEF.pdf,,,,,,,,,,,,,,,,,,,
Déployer les pompes à chaleur,Efficacité énergétique / Logement,Rémi Babut,"Installer 1,5 million de PAC par an d'ici 2030 ; remplacer les chaudières gaz et fioul.","Maintien d'un écart de prix favorable entre électricité et gaz, stabilité des aides MaPrimeRénov, et formation de dizaines de milliers d'installateurs spécialisés.","Pompes à chaleur (PAC) air-eau et air-air, fluides frigorigènes à bas PRG (R290, Propane).",https://theshiftproject.org/app/uploads/2026/04/Reussir-dans-lincertitude-Integral-version-DEF.pdf,,,,,,,,,,,,,,,,,,,
Maîtriser le déploiement des centres de données,Usages sobres / Numérique,Maxime Efoui-Hess,Limiter la consommation électrique des centres de données à 40 TWh en 2050 pour éviter les conflits d'usages électriques.,"Priorisation politique des raccordements au réseau, valorisation obligatoire de la chaleur fatale, et logique de rapatriement des usages hébergés à l'étranger.","Intelligence Artificielle générative, serveurs haute densité, refroidissement liquide.",https://theshiftproject.org/app/uploads/2026/04/Reussir-dans-lincertitude-Integral-version-DEF.pdf,,,,,,,,,,,,,,,,,,,
Produire de l'acier bas-carbone en France,Productions bas carbone / Industrie,Eric Bergé,"Produire 11,8 Mt d'acier bas carbone en 2050 ; sortir du charbon en sidérurgie primaire.","Visibilité sur le prix de l'électricité à long terme, sécurisation des gisements de ferrailles recyclées, et protection contre la concurrence via le MACF.","Réduction directe à l'hydrogène (H2-DRI), four à arc électrique (EAF).",https://theshiftproject.org/app/uploads/2026/04/Reussir-dans-lincertitude-Integral-version-DEF.pdf,,,,,,,,,,,,,,,,,,,
Massifier la production d'hydrogène bas-carbone,Productions bas carbone / Industrie,Eric Bergé,"Déployer 4,5 GW d'électrolyse en 2030 ; fournir l'industrie lourde et les e-fuels.","Accès à une électricité bas carbone abondante, structuration d'un marché aval captif (engrais, acier), et développement d'infrastructures de stockage souterrain.","Électrolyse de l'eau (Alcaline, PEM, SOEC), stockage en cavités salines, e-fuels.",https://theshiftproject.org/app/uploads/2026/04/Reussir-dans-lincertitude-Integral-version-DEF.pdf,,,,,,,,,,,,,,,,,,,
"Capter, stocker et valoriser le CO2 industriel résiduel",Productions bas carbone / Industrie,Alexandre Olaso,"Capter 3 MtCO2/an à l'horizon 2050 pour les émissions incompressibles (ciment, chaux).","Confirmation de la capacité de stockage géologique en France ou accords européens, et acceptabilité sociale des infrastructures terrestres.","Captage post-combustion (amines), Direct Air Capture (DAC), stockage offshore/onshore.",https://theshiftproject.org/app/uploads/2026/04/Reussir-dans-lincertitude-Integral-version-DEF.pdf,,,,,,,,,,,,,,,,,,,
Transformer la gestion de l'azote,Usages bas carbone / Agriculture,Corentin Biardeau,Réduire de 60% l'usage des engrais azotés de synthèse ; atteindre 3 Mha de légumineuses en 2050.,"Adaptation du réseau national de silos aux légumineuses, efforts de sélection génétique pour la résilience climatique, et sécurisation des débouchés via la restauration collective.","Fixation symbiotique, outils d'aide à la décision (N-tester), sélection variétale.",https://theshiftproject.org/app/uploads/2026/04/Reussir-dans-lincertitude-Integral-version-DEF.pdf,,,,,,,,,,,,,,,,,,,
Transition vers des systèmes d'élevages résilients,Usages bas carbone / Agriculture,Thomas Robert,Réduire le cheptel bovin de 30% à 70% d'ici 2050 pour abaisser les émissions de méthane tout en préservant l'élevage extensif.,"Revalorisation des revenus agricoles, amélioration des conditions de travail pour favoriser l'installation des jeunes, et reconnexion spatiale polyculture-élevage.","Sélection génétique ""bas méthane"", additifs alimentaires (algues), vélage groupé de printemps.",https://theshiftproject.org/app/uploads/2026/04/Reussir-dans-lincertitude-Integral-version-DEF.pdf,,,,,,,,,,,,,,,,,,,
Développer l'éolien et le photovoltaïque,Productions bas carbone / Énergie,Marie Aubert,Installer 5 GW/an de solaire et 2 GW/an d'éolien terrestre/mer pour répondre à la hausse de consommation électrique.,"Levée des blocages administratifs (DREAL/DDT), arbitrage sur les contraintes radar/défense, et accélération du raccordement par les gestionnaires de réseau.","Photovoltaïque haute performance, éolien flottant, agrivoltaïsme, smart grids.",https://theshiftproject.org/app/uploads/2026/04/Reussir-dans-lincertitude-Integral-version-DEF.pdf,,,,,,,,,,,,,,,,,,,
Prolonger et relancer le nucléaire,Productions bas carbone / Énergie,Nicolas Raillard,Prolonger le parc historique à 70 ans et mettre en service 14 EPR2 d'ici 2050.,"Recrutement massif (100 000 emplois), accord européen sur le schéma de financement, et standardisation industrielle pour réduire les délais de construction.","EPR2 (Evolutionary Power Reactor), Small Modular Reactors (SMR), Recuit de cuve.",https://theshiftproject.org/app/uploads/2026/04/Reussir-dans-lincertitude-Integral-version-DEF.pdf,,,,,,,,,,,,,,,,,,,
Déployer les bioénergies de manière soutenable,Productions bas carbone / Énergie,Clémence Vorreux,Produire 120 TWh de biogaz et 90 TWh de biocarburants d'ici 2050 tout en évitant les conflits d'usages.,"Arbitrage des conflits d'usage de la biomasse, déploiement des cultures intermédiaires (CIVE), et planification territoriale pour l'insertion des méthaniseurs.","Méthanisation par injection, pyrogazéification, gazéification hydrothermale.",https://theshiftproject.org/app/uploads/2026/04/Reussir-dans-lincertitude-Integral-version-DEF.pdf,,,,,,,,,,,,,,,,,,,
Préserver et étendre les puits de carbone,Puits de carbone / Agriculture et Forêt,Adrien Fauste-Gay,Maintenir un puits de 30 MtCO2e/an en forêt et restaurer le puits agricole.,"Adaptation des essences au réchauffement climatique, lutte contre le dépérissement (scolytes, incendies), et arrêt de l'artificialisation des sols.","Séquestration naturelle, agroforesterie, boisement assisté, bois-matériau long terme.",https://theshiftproject.org/app/uploads/2026/04/Reussir-dans-lincertitude-Integral-version-DEF.pdf,,,,,,,,,,,,,,,,,,,
Autres chantiers de la décarbonation,Transverse,Équipe Projet Shift,"Déploiement de la marche, cyclo-logistique, décarbonation du ciment, éco-conception.",Coordination intersectorielle et intégration des objectifs de sobriété dès la conception des infrastructures.,"Analyse de cycle de vie (ACV), recyclage des plastiques, efficacité électroménager.",https://theshiftproject.org/app/uploads/2026/04/Reussir-dans-lincertitude-Integral-version-DEF.pdf,,,,,,,,,,,,,,,,,,,